城市,编号,名称,地区,经纬度
北京市,BV10013473,丰台南路(地铁站),丰台区,"116.296748,39.840444"
北京市,BV10013410,中关村(地铁站),海淀区,"116.316467,39.983991"
北京市,BV10874511,酒仙桥(地铁站),朝阳区,"116.504206,39.980450"
北京市,BV10009724,森林公园南门(地铁站),朝阳区,"116.392600,40.010122"
北京市,BV11663718,高辛庄(地铁站),朝阳区,"116.606860,39.980903"
北京市,BV11663720,曹各庄北(地铁站),朝阳区,"116.600999,39.992208"
北京市,BV10006219,大井(地铁站),丰台区,"116.276061,39.865226"
北京市,BV10874518,远大路(地铁站),海淀区,"116.282829,39.957110"
北京市,BV10416646,清华东路西口(地铁站),海淀区,"116.339530,40.000673"
北京市,BV10007538,火器营(地铁站),海淀区,"116.289058,39.965938"
北京市,BV10874515,四季青(地铁站),海淀区,"116.274599,39.946104"
北京市,BV10013472,科怡路(地铁站),丰台区,"116.297432,39.832480"
北京市,BV10013391,焦化厂(地铁站),朝阳区,"116.537247,39.855488"
北京市,BV10563755,白盆窑(地铁站),丰台区,"116.313391,39.819590"
北京市,BV11303299,万盛西(地铁站),通州区,"116.632160,39.863328"
北京市,BV10013394,巴沟(地铁站),海淀区,"116.293362,39.974408"
北京市,BV10013409,北京大学东门(地铁站),海淀区,"116.315842,39.992212"
北京市,BV11315917,永顺(地铁站),通州区,"116.642666,39.913147"
北京市,BV10013518,传媒大学(地铁站),朝阳区,"116.554639,39.909215"
北京市,BV11560515,福寿岭(地铁站),石景山区,"116.171146,39.939811"
北京市,BV11494890,北辛安(地铁站),石景山区,"116.164818,39.915135"
北京市,BV11494888,新首钢(地铁站),石景山区,"116.164863,39.908918"
北京市,BV10531973,万泉河桥(地铁站),海淀区,"116.300158,39.985079"
北京市,BV10013471,丰台科技园(地铁站),丰台区,"116.297176,39.825233"
北京市,BV10013453,亦庄桥(地铁站),大兴区,"116.480307,39.803011"
北京市,BV10416590,东湖渠(地铁站),朝阳区,"116.467412,40.010670"
北京市,BV10013402,望京东(地铁站),朝阳区,"116.487105,40.003200"
北京市,BV11494889,金安桥(地铁站),石景山区,"116.162586,39.923298"
北京市,BV10701088,平房村(地铁站),朝阳区,"116.547040,39.950520"
北京市,BV10013452,亦庄文化园(地铁站),大兴区,"116.490632,39.806890"
北京市,BV10013456,玉泉路(地铁站),石景山区,"116.252888,39.907433"
北京市,BV10847816,学清(地铁站),海淀区,"116.352106,40.015273"
北京市,BV11494887,模式口(地铁站),石景山区,"116.156148,39.933369"
北京市,BV10013467,林萃桥(地铁站),朝阳区,"116.372998,40.021906"
北京市,BV11031726,嘉会湖(地铁站),通州区,"116.610369,39.792902"
北京市,BV10013408,圆明园(地铁站),海淀区,"116.310186,39.999662"
北京市,BV10007779,郭公庄(地铁站),丰台区,"116.301889,39.814322"
